epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,315.735,1.91372,1.19284,0,0.58503,0.46277,0.48693,0.23774,1.88613,1.21001,0,0.00184755,0.00184755,0.00184755
181,317.662,1.89679,1.20116,0,0.58702,0.45584,0.48308,0.24111,1.85744,1.19842,0,0.00184588,0.00184588,0.00184588
182,319.331,1.91332,1.19183,0,0.57795,0.47085,0.48484,0.2404,1.85454,1.20425,0,0.00184421,0.00184421,0.00184421
183,321.051,1.90592,1.1915,0,0.56623,0.46799,0.48152,0.23705,1.88809,1.19899,0,0.00184254,0.00184254,0.00184254
184,322.843,1.92408,1.20269,0,0.57337,0.4686,0.48145,0.23484,1.89564,1.20224,0,0.00184085,0.00184085,0.00184085
185,324.582,1.91667,1.20064,0,0.56801,0.46985,0.48392,0.23763,1.86556,1.21412,0,0.00183915,0.00183915,0.00183915
186,326.525,1.87285,1.19275,0,0.57068,0.48762,0.4911,0.23686,1.87453,1.20218,0,0.00183745,0.00183745,0.00183745
187,328.176,1.89,1.18493,0,0.56948,0.47987,0.487,0.2367,1.87521,1.2141,0,0.00183574,0.00183574,0.00183574
188,329.821,1.88981,1.19098,0,0.58915,0.4656,0.48594,0.23774,1.87544,1.21347,0,0.00183402,0.00183402,0.00183402
189,331.342,1.88663,1.17873,0,0.5865,0.46235,0.48408,0.23533,1.87019,1.21236,0,0.00183229,0.00183229,0.00183229
190,332.846,1.90308,1.19855,0,0.60759,0.46435,0.48821,0.24088,1.86204,1.22058,0,0.00183055,0.00183055,0.00183055
191,334.508,1.89861,1.18515,0,0.58805,0.47561,0.49278,0.24014,1.88062,1.18999,0,0.00182881,0.00182881,0.00182881
192,335.996,1.90928,1.19548,0,0.57903,0.47861,0.49168,0.24139,1.85892,1.21606,0,0.00182706,0.00182706,0.00182706
193,337.711,1.89095,1.18738,0,0.58518,0.48036,0.49193,0.24077,1.8498,1.22746,0,0.0018253,0.0018253,0.0018253
194,339.165,1.92112,1.20073,0,0.58971,0.47811,0.486,0.2385,1.84472,1.20605,0,0.00182353,0.00182353,0.00182353
195,340.691,1.89488,1.19945,0,0.59996,0.47652,0.49304,0.23864,1.87735,1.20244,0,0.00182175,0.00182175,0.00182175
